Energy CP 	 ICP 	 Energy CN 	 ICN 	 FCP 	 FCN 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
636.019837	 0.131445	 635.827096	 0.137725	 0.000000	 0.000000	 -0.006280	 0.000000	 -0.023329	 nan
636.216942	 0.127521	 636.023204	 0.132153	 0.000000	 0.000000	 -0.004632	 0.000000	 -0.017837	 nan
636.404830	 0.125861	 636.197444	 0.127675	 0.000000	 0.000000	 -0.001814	 0.000000	 -0.007154	 nan
636.588619	 0.128205	 636.411759	 0.125671	 0.000000	 0.000000	 0.002534	 0.000000	 0.009982	 nan
636.784267	 0.138018	 636.616457	 0.128063	 0.000000	 0.000000	 0.009955	 0.000000	 0.037412	 nan
636.971653	 0.162187	 636.808651	 0.137913	 0.000000	 0.000000	 0.024273	 0.000000	 0.080883	 nan
637.158175	 0.209517	 636.990077	 0.160784	 0.000000	 0.000000	 0.048734	 0.000000	 0.131606	 nan
637.355746	 0.272245	 637.170401	 0.205122	 0.000000	 0.000000	 0.067122	 0.000000	 0.140610	 nan
637.549310	 0.334408	 637.362508	 0.265632	 0.000000	 0.000000	 0.068776	 0.000000	 0.114619	 nan
637.742062	 0.391125	 637.554405	 0.325656	 0.000000	 0.000000	 0.065469	 0.000000	 0.091338	 nan
637.933582	 0.432472	 637.739780	 0.378979	 0.000000	 0.000000	 0.053492	 0.000000	 0.065922	 nan
638.125588	 0.447992	 637.921684	 0.421134	 0.000000	 0.000000	 0.026858	 0.000000	 0.030902	 nan
638.332773	 0.434968	 638.109593	 0.439976	 0.000000	 0.000000	 -0.005008	 0.000000	 -0.005724	 nan
638.527390	 0.404266	 638.290359	 0.429767	 0.000000	 0.000000	 -0.025501	 0.000000	 -0.030575	 nan
638.719842	 0.364413	 638.511747	 0.399818	 0.000000	 0.000000	 -0.035405	 0.000000	 -0.046328	 nan
638.916881	 0.319012	 638.705726	 0.361272	 0.000000	 0.000000	 -0.042260	 0.000000	 -0.062121	 nan
639.114227	 0.273753	 638.898470	 0.316559	 0.000000	 0.000000	 -0.042806	 0.000000	 -0.072514	 nan
639.318877	 0.232361	 639.108530	 0.271779	 0.000000	 0.000000	 -0.039418	 0.000000	 -0.078188	 nan
639.523143	 0.196700	 639.293866	 0.230801	 0.000000	 0.000000	 -0.034101	 0.000000	 -0.079768	 nan
639.715582	 0.168128	 639.516223	 0.196222	 0.000000	 0.000000	 -0.028095	 0.000000	 -0.077109	 nan
639.909258	 0.145247	 639.706230	 0.167969	 0.000000	 0.000000	 -0.022721	 0.000000	 -0.072542	 nan
640.110390	 0.128167	 639.899432	 0.145029	 0.000000	 0.000000	 -0.016861	 0.000000	 -0.061719	 nan
640.309449	 0.116217	 640.105187	 0.128042	 0.000000	 0.000000	 -0.011825	 0.000000	 -0.048411	 nan
640.503854	 0.107706	 640.288522	 0.116087	 0.000000	 0.000000	 -0.008380	 0.000000	 -0.037447	 nan
640.687885	 0.101422	 640.500703	 0.107676	 0.000000	 0.000000	 -0.006254	 0.000000	 -0.029909	 nan
640.877784	 0.096533	 640.690446	 0.101378	 0.000000	 0.000000	 -0.004845	 0.000000	 -0.024478	 nan
641.068311	 0.092942	 640.889720	 0.096465	 0.000000	 0.000000	 -0.003523	 0.000000	 -0.018602	 nan
641.251583	 0.090057	 641.085318	 0.092965	 0.000000	 0.000000	 -0.002909	 0.000000	 -0.015892	 nan
641.440874	 0.087980	 641.259074	 0.090234	 0.000000	 0.000000	 -0.002254	 0.000000	 -0.012649	 nan
641.625391	 0.086418	 641.455459	 0.088387	 0.000000	 0.000000	 -0.001969	 0.000000	 -0.011265	 nan
641.829801	 0.085220	 641.636272	 0.086952	 0.000000	 0.000000	 -0.001732	 0.000000	 -0.010061	 nan
642.034245	 0.084435	 641.833355	 0.085918	 0.000000	 0.000000	 -0.001483	 0.000000	 -0.008704	 nan
642.225218	 0.083967	 642.028583	 0.085048	 0.000000	 0.000000	 -0.001081	 0.000000	 -0.006395	 nan
642.404954	 0.083759	 642.206421	 0.084601	 0.000000	 0.000000	 -0.000842	 0.000000	 -0.005004	 nan
642.591904	 0.083762	 642.408372	 0.084445	 0.000000	 0.000000	 -0.000682	 0.000000	 -0.004056	 nan
642.778961	 0.083829	 642.598339	 0.084358	 0.000000	 0.000000	 -0.000529	 0.000000	 -0.003145	 nan
642.974240	 0.083906	 642.800580	 0.084328	 0.000000	 0.000000	 -0.000422	 0.000000	 -0.002511	 nan
643.178179	 0.083935	 642.993560	 0.084379	 0.000000	 0.000000	 -0.000444	 0.000000	 -0.002637	 nan
643.378752	 0.083866	 643.159042	 0.084366	 0.000000	 0.000000	 -0.000500	 0.000000	 -0.002972	 nan
643.598635	 0.083461	 643.375471	 0.084221	 0.000000	 0.000000	 -0.000761	 0.000000	 -0.004536	 nan
643.823114	 0.082841	 643.590295	 0.083832	 0.000000	 0.000000	 -0.000991	 0.000000	 -0.005944	 nan
644.037619	 0.081946	 643.809943	 0.083082	 0.000000	 0.000000	 -0.001136	 0.000000	 -0.006884	 nan
644.242274	 0.080988	 644.025528	 0.082263	 0.000000	 0.000000	 -0.001275	 0.000000	 -0.007812	 nan
644.447057	 0.079949	 644.216111	 0.081251	 0.000000	 0.000000	 -0.001301	 0.000000	 -0.008073	 nan
644.658844	 0.078680	 644.447743	 0.080131	 0.000000	 0.000000	 -0.001451	 0.000000	 -0.009134	 nan
644.875656	 0.077199	 644.666880	 0.078688	 0.000000	 0.000000	 -0.001489	 0.000000	 -0.009550	 nan
645.081930	 0.075791	 644.883033	 0.077357	 0.000000	 0.000000	 -0.001567	 0.000000	 -0.010230	 nan
645.278975	 0.074343	 645.073880	 0.076019	 0.000000	 0.000000	 -0.001675	 0.000000	 -0.011142	 nan
645.488024	 0.072760	 645.275006	 0.074539	 0.000000	 0.000000	 -0.001779	 0.000000	 -0.012079	 nan
645.699442	 0.071077	 645.487284	 0.072870	 0.000000	 0.000000	 -0.001793	 0.000000	 -0.012458	 nan
645.904572	 0.069427	 645.695133	 0.071240	 0.000000	 0.000000	 -0.001812	 0.000000	 -0.012884	 nan
646.109306	 0.067822	 645.899831	 0.069676	 0.000000	 0.000000	 -0.001853	 0.000000	 -0.013477	 nan
646.288149	 0.066157	 646.088655	 0.068075	 0.000000	 0.000000	 -0.001918	 0.000000	 -0.014292	 nan
646.494984	 0.064264	 646.285022	 0.066301	 0.000000	 0.000000	 -0.002038	 0.000000	 -0.015609	 nan
646.706148	 0.062515	 646.489709	 0.064463	 0.000000	 0.000000	 -0.001947	 0.000000	 -0.015336	 nan
646.906086	 0.060947	 646.699486	 0.062763	 0.000000	 0.000000	 -0.001816	 0.000000	 -0.014683	 nan
647.094585	 0.059575	 646.892974	 0.061228	 0.000000	 0.000000	 -0.001653	 0.000000	 -0.013682	 nan
647.275928	 0.058268	 647.074348	 0.059782	 0.000000	 0.000000	 -0.001513	 0.000000	 -0.012820	 nan
647.459954	 0.057152	 647.265907	 0.058334	 0.000000	 0.000000	 -0.001182	 0.000000	 -0.010239	 nan
647.650304	 0.056508	 647.464130	 0.057279	 0.000000	 0.000000	 -0.000771	 0.000000	 -0.006772	 nan
647.837317	 0.056473	 647.653142	 0.056653	 0.000000	 0.000000	 -0.000180	 0.000000	 -0.001592	 nan
648.037708	 0.057456	 647.835082	 0.056641	 0.000000	 0.000000	 0.000815	 0.000000	 0.007145	 nan
648.249391	 0.059764	 648.023302	 0.057555	 0.000000	 0.000000	 0.002209	 0.000000	 0.018830	 nan
648.463802	 0.063016	 648.232866	 0.059954	 0.000000	 0.000000	 0.003062	 0.000000	 0.024900	 nan
648.676241	 0.065605	 648.454269	 0.063427	 0.000000	 0.000000	 0.002177	 0.000000	 0.016875	 nan
648.880892	 0.066509	 648.668093	 0.066293	 0.000000	 0.000000	 0.000216	 0.000000	 0.001627	 nan
649.092928	 0.065443	 648.868368	 0.067484	 0.000000	 0.000000	 -0.002041	 0.000000	 -0.015353	 nan
649.315682	 0.062969	 649.079050	 0.066732	 0.000000	 0.000000	 -0.003763	 0.000000	 -0.029010	 nan
649.535508	 0.059745	 649.295542	 0.064499	 0.000000	 0.000000	 -0.004754	 0.000000	 -0.038265	 nan
649.739636	 0.056089	 649.511263	 0.061265	 0.000000	 0.000000	 -0.005176	 0.000000	 -0.044106	 nan
