Q 	 ICP 	  ICN 	 ILH 	 ILV 	 IXMCDR  
0.11454	 1.3732e-13	 1.2902e-13	 1.1156e-13	 1.0088e-13	 8.3e-15	 0.0311632
0.115774	 1.1663e-13	 1.092e-13	 9.4507e-14	 8.4953e-14	 7.43e-15	 0.0329009
0.117007	 9.9771e-14	 9.3044e-14	 8.1043e-14	 7.2627e-14	 6.727e-15	 0.0348884
0.118241	 8.6313e-14	 8.009e-14	 6.9956e-14	 6.2847e-14	 6.223e-15	 0.0373972
0.119474	 7.5899e-14	 7.11e-14	 6.1719e-14	 5.5267e-14	 4.799e-15	 0.0326465
0.120707	 6.8159e-14	 6.1233e-14	 5.6307e-14	 5.0586e-14	 6.926e-15	 0.0535273
0.121939	 6.2292e-14	 5.8476e-14	 5.158e-14	 4.5826e-14	 3.816e-15	 0.0315978
0.123171	 5.8686e-14	 5.472e-14	 4.8637e-14	 4.3637e-14	 3.966e-15	 0.0349717
0.124402	 5.5808e-14	 5.2134e-14	 4.602e-14	 4.2031e-14	 3.674e-15	 0.0340368
0.125634	 5.3161e-14	 4.8156e-14	 4.4914e-14	 4.0219e-14	 5.005e-15	 0.0493994
0.126864	 5.0323e-14	 4.672e-14	 4.3721e-14	 3.8907e-14	 3.603e-15	 0.0371279
0.128095	 4.6663e-14	 4.343e-14	 4.0705e-14	 3.6199e-14	 3.233e-15	 0.0358851
0.129325	 4.285e-14	 3.9746e-14	 3.7741e-14	 3.3469e-14	 3.104e-15	 0.0375805
0.130554	 3.8813e-14	 3.5731e-14	 3.422e-14	 3.0331e-14	 3.082e-15	 0.0413447
0.131784	 3.4866e-14	 3.1945e-14	 3.0518e-14	 2.7e-14	 2.921e-15	 0.0437203
0.133012	 3.0794e-14	 2.8165e-14	 2.7258e-14	 2.4015e-14	 2.629e-15	 0.0445903
0.134241	 2.6854e-14	 2.4259e-14	 2.3533e-14	 2.0749e-14	 2.595e-15	 0.0507699
0.135469	 2.3639e-14	 2.1219e-14	 2.0695e-14	 1.8136e-14	 2.42e-15	 0.053948
0.136696	 2.1292e-14	 1.8934e-14	 1.8566e-14	 1.6208e-14	 2.358e-15	 0.0586188
0.137924	 1.9561e-14	 1.7471e-14	 1.7225e-14	 1.4949e-14	 2.09e-15	 0.0564377
0.13915	 1.8844e-14	 1.6925e-14	 1.6775e-14	 1.4477e-14	 1.919e-15	 0.0536498
0.140377	 1.8445e-14	 1.6453e-14	 1.6443e-14	 1.4129e-14	 1.992e-15	 0.0570806
0.141603	 1.8401e-14	 1.6484e-14	 1.6633e-14	 1.4235e-14	 1.917e-15	 0.054952
0.142828	 1.8577e-14	 1.6645e-14	 1.7038e-14	 1.4492e-14	 1.932e-15	 0.0548521
0.144053	 1.8572e-14	 1.6826e-14	 1.7347e-14	 1.4756e-14	 1.746e-15	 0.0493248
0.145278	 1.8412e-14	 1.6904e-14	 1.7703e-14	 1.4906e-14	 1.508e-15	 0.0427002
0.146502	 1.7422e-14	 1.6136e-14	 1.6913e-14	 1.4225e-14	 1.286e-15	 0.0383217
0.147726	 1.5762e-14	 1.4852e-14	 1.5617e-14	 1.3104e-14	 9.1e-16	 0.029725
0.148949	 1.3565e-14	 1.3071e-14	 1.373e-14	 1.1504e-14	 4.94e-16	 0.0185463
0.150172	 1.1007e-14	 1.0801e-14	 1.1354e-14	 9.4977e-15	 2.06e-16	 0.00944607
0.151394	 8.2864e-15	 8.3695e-15	 8.5047e-15	 7.3758e-15	 -8.31e-17	 -0.00498922
0.152616	 5.278e-15	 5.443e-15	 6.079e-15	 5.107e-15	 -1.65e-16	 -0.0153904
0.153837	 3.2284e-15	 3.4212e-15	 3.5383e-15	 3.0031e-15	 -1.928e-16	 -0.0289942
0.155058	 1.7283e-15	 1.8786e-15	 1.9625e-15	 1.6675e-15	 -1.503e-16	 -0.0416701
0.156279	 9.3173e-16	 9.9589e-16	 1.049e-15	 9.0418e-16	 -6.416e-17	 -0.0332846
0.157499	 9.3181e-16	 8.8205e-16	 9.507e-16	 8.0149e-16	 4.976e-17	 0.0274332
0.158718	 1.721e-15	 1.5283e-15	 1.6589e-15	 1.3603e-15	 1.927e-16	 0.0593051
0.159937	 3.271e-15	 2.943e-15	 3.1966e-15	 2.5795e-15	 3.28e-16	 0.052784
0.161156	 5.4747e-15	 5.001e-15	 5.3309e-15	 4.3584e-15	 4.737e-16	 0.0452189
0.162374	 8.4424e-15	 7.8646e-15	 8.1949e-15	 6.4661e-15	 5.778e-16	 0.0354326
0.163592	 1.1865e-14	 1.1168e-14	 1.1499e-14	 8.7039e-15	 6.97e-16	 0.0302609
0.164809	 1.4659e-14	 1.3859e-14	 1.5147e-14	 1.1895e-14	 8e-16	 0.0280525
0.166025	 1.7465e-14	 1.663e-14	 1.8063e-14	 1.4244e-14	 8.35e-16	 0.0244904
0.167241	 1.9715e-14	 1.8807e-14	 2.0181e-14	 1.6076e-14	 9.08e-16	 0.0235709
0.168457	 2.1151e-14	 2.036e-14	 2.214e-14	 1.7372e-14	 7.91e-16	 0.0190552
0.169672	 2.2144e-14	 2.1348e-14	 2.3298e-14	 1.8161e-14	 7.96e-16	 0.0183022
0.170886	 2.1837e-14	 2.1067e-14	 2.2933e-14	 1.7948e-14	 7.7e-16	 0.017947
0.172101	 2.1078e-14	 2.0278e-14	 2.2177e-14	 1.7286e-14	 8e-16	 0.0193442
0.173314	 1.9803e-14	 1.9025e-14	 2.0913e-14	 1.6203e-14	 7.78e-16	 0.0200371
0.174527	 1.8129e-14	 1.7484e-14	 1.9229e-14	 1.4876e-14	 6.45e-16	 0.0181114
