Energy CP 	 ICP 	 Energy CN 	 ICN 	 FLH 	 FLV 	 IXMCD 	 FXMCD 	 IXMCDR 	 FXMCDR 
629.622839	 0.173751	 629.417957	 0.176854	 0.000000	 0.000000	 -0.003103	 0.000000	 -0.008852	 nan
629.810107	 0.175817	 629.608816	 0.178873	 0.000000	 0.000000	 -0.003056	 0.000000	 -0.008616	 nan
629.997531	 0.177892	 629.794492	 0.180887	 0.000000	 0.000000	 -0.002996	 0.000000	 -0.008350	 nan
630.191366	 0.180177	 629.985713	 0.182842	 0.000000	 0.000000	 -0.002665	 0.000000	 -0.007342	 nan
630.390899	 0.182746	 630.180176	 0.185099	 0.000000	 0.000000	 -0.002353	 0.000000	 -0.006397	 nan
630.589603	 0.185343	 630.380429	 0.187594	 0.000000	 0.000000	 -0.002251	 0.000000	 -0.006035	 nan
630.779393	 0.188066	 630.578492	 0.190158	 0.000000	 0.000000	 -0.002093	 0.000000	 -0.005534	 nan
630.968115	 0.190767	 630.771002	 0.192648	 0.000000	 0.000000	 -0.001882	 0.000000	 -0.004908	 nan
631.161768	 0.193711	 630.963310	 0.195281	 0.000000	 0.000000	 -0.001570	 0.000000	 -0.004036	 nan
631.350034	 0.196689	 631.156188	 0.198208	 0.000000	 0.000000	 -0.001519	 0.000000	 -0.003847	 nan
631.523114	 0.199734	 631.325206	 0.201120	 0.000000	 0.000000	 -0.001386	 0.000000	 -0.003458	 nan
631.697427	 0.202950	 631.517529	 0.203874	 0.000000	 0.000000	 -0.000924	 0.000000	 -0.002271	 nan
631.893346	 0.206959	 631.676536	 0.206984	 0.000000	 0.000000	 -0.000025	 0.000000	 -0.000060	 nan
632.104481	 0.211511	 631.875725	 0.210790	 0.000000	 0.000000	 0.000722	 0.000000	 0.001709	 nan
632.307541	 0.215925	 632.082380	 0.215019	 0.000000	 0.000000	 0.000907	 0.000000	 0.002104	 nan
632.493195	 0.220328	 632.296288	 0.219090	 0.000000	 0.000000	 0.001238	 0.000000	 0.002816	 nan
632.675074	 0.224995	 632.483808	 0.223160	 0.000000	 0.000000	 0.001835	 0.000000	 0.004095	 nan
632.866793	 0.230566	 632.663124	 0.227751	 0.000000	 0.000000	 0.002816	 0.000000	 0.006143	 nan
633.060046	 0.236721	 632.850906	 0.232936	 0.000000	 0.000000	 0.003785	 0.000000	 0.008060	 nan
633.256298	 0.242871	 633.048952	 0.238501	 0.000000	 0.000000	 0.004370	 0.000000	 0.009077	 nan
633.440672	 0.249265	 633.248266	 0.244000	 0.000000	 0.000000	 0.005265	 0.000000	 0.010674	 nan
633.631384	 0.257028	 633.426133	 0.250093	 0.000000	 0.000000	 0.006935	 0.000000	 0.013674	 nan
633.837617	 0.265583	 633.619174	 0.257142	 0.000000	 0.000000	 0.008440	 0.000000	 0.016146	 nan
634.048387	 0.274502	 633.822695	 0.264812	 0.000000	 0.000000	 0.009690	 0.000000	 0.017967	 nan
634.242353	 0.283288	 634.028042	 0.272868	 0.000000	 0.000000	 0.010419	 0.000000	 0.018735	 nan
634.430833	 0.293593	 634.231822	 0.280694	 0.000000	 0.000000	 0.012899	 0.000000	 0.022460	 nan
634.631650	 0.306099	 634.420664	 0.289709	 0.000000	 0.000000	 0.016390	 0.000000	 0.027509	 nan
634.846899	 0.319779	 634.617707	 0.300431	 0.000000	 0.000000	 0.019349	 0.000000	 0.031197	 nan
635.053132	 0.333934	 634.833039	 0.312413	 0.000000	 0.000000	 0.021520	 0.000000	 0.033295	 nan
635.241628	 0.349684	 635.037377	 0.324365	 0.000000	 0.000000	 0.025319	 0.000000	 0.037562	 nan
635.432308	 0.368827	 635.227891	 0.337384	 0.000000	 0.000000	 0.031443	 0.000000	 0.044524	 nan
635.629695	 0.391049	 635.418656	 0.353271	 0.000000	 0.000000	 0.037778	 0.000000	 0.050756	 nan
635.828634	 0.416158	 635.616820	 0.371527	 0.000000	 0.000000	 0.044631	 0.000000	 0.056661	 nan
636.023910	 0.445291	 635.810215	 0.392105	 0.000000	 0.000000	 0.053187	 0.000000	 0.063515	 nan
636.209604	 0.481415	 636.005804	 0.414543	 0.000000	 0.000000	 0.066872	 0.000000	 0.074638	 nan
636.401738	 0.527539	 636.192597	 0.441979	 0.000000	 0.000000	 0.085560	 0.000000	 0.088250	 nan
636.595697	 0.588301	 636.385322	 0.476523	 0.000000	 0.000000	 0.111778	 0.000000	 0.104974	 nan
636.781305	 0.673412	 636.586164	 0.519736	 0.000000	 0.000000	 0.153676	 0.000000	 0.128799	 nan
636.978318	 0.784470	 636.772878	 0.575995	 0.000000	 0.000000	 0.208475	 0.000000	 0.153238	 nan
637.171096	 0.902382	 636.961830	 0.652822	 0.000000	 0.000000	 0.249560	 0.000000	 0.160468	 nan
637.374653	 1.019312	 637.151820	 0.741928	 0.000000	 0.000000	 0.277384	 0.000000	 0.157494	 nan
637.572818	 1.136940	 637.355643	 0.829212	 0.000000	 0.000000	 0.307728	 0.000000	 0.156513	 nan
637.768413	 1.242779	 637.560060	 0.916895	 0.000000	 0.000000	 0.325884	 0.000000	 0.150895	 nan
637.951028	 1.475215	 637.756901	 0.976363	 0.000000	 0.000000	 0.498852	 0.000000	 0.203482	 nan
638.141462	 1.853664	 637.939697	 1.102951	 0.000000	 0.000000	 0.750713	 0.000000	 0.253910	 nan
638.339959	 2.127668	 638.126825	 1.360632	 0.000000	 0.000000	 0.767036	 0.000000	 0.219888	 nan
638.535135	 2.163512	 638.324338	 1.561653	 0.000000	 0.000000	 0.601859	 0.000000	 0.161566	 nan
638.727078	 1.865939	 638.522437	 1.591730	 0.000000	 0.000000	 0.274209	 0.000000	 0.079305	 nan
638.919553	 1.343600	 638.718796	 1.361245	 0.000000	 0.000000	 -0.017644	 0.000000	 -0.006523	 nan
639.121280	 1.014925	 638.905491	 0.911846	 0.000000	 0.000000	 0.103079	 0.000000	 0.053498	 nan
639.331062	 1.064315	 639.109960	 0.595931	 0.000000	 0.000000	 0.468384	 0.000000	 0.282118	 nan
639.526418	 1.226153	 639.316378	 0.633219	 0.000000	 0.000000	 0.592935	 0.000000	 0.318890	 nan
639.723340	 1.273059	 639.513733	 0.815533	 0.000000	 0.000000	 0.457525	 0.000000	 0.219059	 nan
639.915289	 1.216841	 639.708220	 0.907930	 0.000000	 0.000000	 0.308910	 0.000000	 0.145385	 nan
640.113149	 1.138186	 639.902123	 0.901092	 0.000000	 0.000000	 0.237094	 0.000000	 0.116264	 nan
640.312534	 1.070512	 640.097264	 0.867189	 0.000000	 0.000000	 0.203323	 0.000000	 0.104930	 nan
640.494955	 0.990604	 640.298325	 0.833735	 0.000000	 0.000000	 0.156868	 0.000000	 0.085986	 nan
640.673545	 0.910826	 640.482236	 0.783627	 0.000000	 0.000000	 0.127199	 0.000000	 0.075068	 nan
640.866573	 0.849326	 640.655808	 0.728400	 0.000000	 0.000000	 0.120926	 0.000000	 0.076646	 nan
641.068861	 0.778045	 640.850561	 0.688182	 0.000000	 0.000000	 0.089863	 0.000000	 0.061289	 nan
641.270994	 0.715966	 641.058514	 0.640209	 0.000000	 0.000000	 0.075757	 0.000000	 0.055861	 nan
641.466867	 0.681645	 641.262519	 0.596300	 0.000000	 0.000000	 0.085345	 0.000000	 0.066783	 nan
641.656187	 0.660764	 641.450265	 0.577338	 0.000000	 0.000000	 0.083426	 0.000000	 0.067382	 nan
641.848016	 0.634901	 641.639154	 0.571238	 0.000000	 0.000000	 0.063663	 0.000000	 0.052782	 nan
642.037653	 0.597351	 641.836426	 0.558333	 0.000000	 0.000000	 0.039018	 0.000000	 0.033762	 nan
642.222553	 0.550037	 642.014205	 0.532861	 0.000000	 0.000000	 0.017176	 0.000000	 0.015861	 nan
642.398189	 0.498925	 642.194623	 0.497011	 0.000000	 0.000000	 0.001914	 0.000000	 0.001922	 nan
642.590409	 0.450089	 642.374010	 0.455420	 0.000000	 0.000000	 -0.005331	 0.000000	 -0.005887	 nan
642.790616	 0.407183	 642.565416	 0.413791	 0.000000	 0.000000	 -0.006608	 0.000000	 -0.008049	 nan
643.001325	 0.370611	 642.765609	 0.376986	 0.000000	 0.000000	 -0.006375	 0.000000	 -0.008527	 nan
643.205704	 0.339876	 642.975926	 0.344319	 0.000000	 0.000000	 -0.004443	 0.000000	 -0.006494	 nan
643.410588	 0.314226	 643.185434	 0.316212	 0.000000	 0.000000	 -0.001985	 0.000000	 -0.003149	 nan
643.629735	 0.294620	 643.385064	 0.292674	 0.000000	 0.000000	 0.001946	 0.000000	 0.003314	 nan
643.847846	 0.278374	 643.600130	 0.274175	 0.000000	 0.000000	 0.004199	 0.000000	 0.007599	 nan
644.066293	 0.264660	 643.822858	 0.258821	 0.000000	 0.000000	 0.005838	 0.000000	 0.011153	 nan
644.272810	 0.252757	 644.045785	 0.245917	 0.000000	 0.000000	 0.006839	 0.000000	 0.013715	 nan
644.480121	 0.242513	 644.248359	 0.235120	 0.000000	 0.000000	 0.007393	 0.000000	 0.015478	 nan
644.693634	 0.235371	 644.455703	 0.225889	 0.000000	 0.000000	 0.009482	 0.000000	 0.020557	 nan
644.902874	 0.230355	 644.666499	 0.218780	 0.000000	 0.000000	 0.011575	 0.000000	 0.025771	 nan
645.101376	 0.226634	 644.882839	 0.214151	 0.000000	 0.000000	 0.012483	 0.000000	 0.028320	 nan
