Q 	 ICP 	  ICN 	 IXMCDR  
0.225769	 2.828e-16	 2.0425e-16	 7.855e-17	 0.161277
0.226375	 2.5275e-16	 1.8425e-16	 6.85e-17	 0.156751
0.226979	 2.2579e-16	 1.6676e-16	 5.903e-17	 0.150376
0.227582	 2.0041e-16	 1.5127e-16	 4.914e-17	 0.139729
0.228184	 1.7735e-16	 1.3673e-16	 4.062e-17	 0.12933
0.228783	 1.602e-16	 1.2477e-16	 3.543e-17	 0.124329
0.229382	 1.3737e-16	 1.1466e-16	 2.271e-17	 0.0901083
0.229978	 1.2269e-16	 1.0575e-16	 1.694e-17	 0.0741551
0.230573	 1.1039e-16	 9.8985e-17	 1.1405e-17	 0.0544716
0.231167	 1.0076e-16	 9.4327e-17	 6.433e-18	 0.032975
0.231758	 9.3553e-17	 9.1739e-17	 1.814e-18	 0.00978995
0.232349	 8.663e-17	 8.9693e-17	 -3.063e-18	 -0.0173715
0.232937	 8.8517e-17	 8.9693e-17	 -1.176e-18	 -0.00659896
0.233524	 8.3934e-17	 9.1828e-17	 -7.894e-18	 -0.044913
0.23411	 8.6656e-17	 9.3867e-17	 -7.211e-18	 -0.039945
0.234694	 8.913e-17	 9.7632e-17	 -8.502e-18	 -0.0455232
0.235276	 9.5001e-17	 1.0257e-16	 -7.569e-18	 -0.0383103
0.235857	 1.0237e-16	 1.0816e-16	 -5.79e-18	 -0.027502
0.236436	 1.0881e-16	 1.143e-16	 -5.49e-18	 -0.0246067
0.237013	 1.2313e-16	 1.2147e-16	 1.66e-18	 0.00678659
0.237589	 1.3309e-16	 1.2905e-16	 4.04e-18	 0.0154116
0.238163	 1.3779e-16	 1.3617e-16	 1.62e-18	 0.00591327
0.238736	 1.5182e-16	 1.4409e-16	 7.73e-18	 0.0261228
0.239307	 1.6329e-16	 1.5259e-16	 1.07e-17	 0.0338736
0.239876	 1.7486e-16	 1.6009e-16	 1.477e-17	 0.0440961
0.240443	 1.8659e-16	 1.6807e-16	 1.852e-17	 0.052219
0.241009	 1.9822e-16	 1.7632e-16	 2.19e-17	 0.0584717
0.241574	 2.0936e-16	 1.8396e-16	 2.54e-17	 0.0645785
0.242136	 2.2031e-16	 1.9118e-16	 2.913e-17	 0.0707915
0.242697	 2.309e-16	 1.9901e-16	 3.189e-17	 0.0741783
0.243257	 2.3801e-16	 2.0653e-16	 3.148e-17	 0.0708148
0.243814	 2.5055e-16	 2.124e-16	 3.815e-17	 0.0824063
0.24437	 2.5884e-16	 2.1855e-16	 4.029e-17	 0.0843964
0.244925	 2.6698e-16	 2.2512e-16	 4.186e-17	 0.085064
0.245477	 2.7412e-16	 2.2959e-16	 4.453e-17	 0.088404
0.246028	 2.8068e-16	 2.3419e-16	 4.649e-17	 0.0902946
0.246578	 2.8564e-16	 2.3807e-16	 4.757e-17	 0.0908327
0.247125	 2.9002e-16	 2.4091e-16	 4.911e-17	 0.0924981
0.247671	 2.9335e-16	 2.4296e-16	 5.039e-17	 0.0939569
0.248215	 2.9593e-16	 2.4474e-16	 5.119e-17	 0.0946788
0.248758	 2.975e-16	 2.4616e-16	 5.134e-17	 0.094434
0.249298	 2.9807e-16	 2.4554e-16	 5.253e-17	 0.0966318
0.249838	 2.9781e-16	 2.4557e-16	 5.224e-17	 0.096139
0.250375	 2.9641e-16	 2.4577e-16	 5.064e-17	 0.0934007
0.250911	 2.9418e-16	 2.4317e-16	 5.101e-17	 0.0949288
0.251444	 2.91e-16	 2.4085e-16	 5.015e-17	 0.0942935
0.251977	 2.8714e-16	 2.3859e-16	 4.855e-17	 0.0923478
0.252507	 2.8263e-16	 2.3479e-16	 4.784e-17	 0.0924587
0.253036	 2.7689e-16	 2.3073e-16	 4.616e-17	 0.0909342
0.253563	 2.7065e-16	 2.2651e-16	 4.414e-17	 0.0887843
0.254088	 2.6413e-16	 2.2139e-16	 4.274e-17	 0.0880293
0.254612	 2.5682e-16	 2.147e-16	 4.212e-17	 0.0893281
0.255133	 2.4844e-16	 2.0894e-16	 3.95e-17	 0.0863614
0.255654	 2.3961e-16	 2.0248e-16	 3.713e-17	 0.0839874
0.256172	 2.303e-16	 1.9493e-16	 3.537e-17	 0.0831785
0.256688	 2.2052e-16	 1.8696e-16	 3.356e-17	 0.0823599
0.257203	 2.1056e-16	 1.7979e-16	 3.077e-17	 0.0788267
0.257716	 1.9998e-16	 1.7152e-16	 2.846e-17	 0.0766083
0.258227	 1.8975e-16	 1.6277e-16	 2.698e-17	 0.0765347
0.258737	 1.7898e-16	 1.5459e-16	 2.439e-17	 0.0731181
0.259245	 1.6794e-16	 1.5332e-16	 1.462e-17	 0.0455083
0.25975	 1.5743e-16	 1.4379e-16	 1.364e-17	 0.0452825
0.260255	 1.4691e-16	 1.3492e-16	 1.199e-17	 0.0425434
0.260757	 1.3652e-16	 1.2587e-16	 1.065e-17	 0.0405884
0.261258	 1.2627e-16	 1.1692e-16	 9.35e-18	 0.0384473
0.261756	 1.1644e-16	 1.0793e-16	 8.51e-18	 0.0379284
0.262253	 1.0701e-16	 1.001e-16	 6.91e-18	 0.0333639
0.262748	 9.7381e-17	 9.2057e-17	 5.324e-18	 0.0281042
