photonEnergy	Refl_sample	Phase_Sample	Refl_Monochromator	Phase_Monochromator	ReflSample_cc_ReflMono2	
-9.6	3.57059563469e-05	3.33012288178	6.01624410019e-05	3.41460362414	3.7683370939e-05	
-9.58	3.58528499065e-05	3.33011827919	6.04067283989e-05	3.4145914248	3.78439367231e-05	
-9.56	3.60006518289e-05	3.33011365776	6.0652506736e-05	3.41457917613	3.80053842769e-05	
-9.54	3.61493696187e-05	3.33010901737	6.08997881712e-05	3.41456687783	3.8167739658e-05	
-9.52	3.62990108592e-05	3.33010435791	6.11485849864e-05	3.4145545296	3.83310262426e-05	
-9.5	3.64495832114e-05	3.33009967924	6.1398909589e-05	3.41454213113	3.84952652438e-05	
-9.48	3.66010944168e-05	3.33009498127	6.16507745141e-05	3.41452968211	3.86604761172e-05	
-9.46	3.67535522967e-05	3.33009026386	6.19041924254e-05	3.41451718223	3.88266768827e-05	
-9.44	3.6906964755e-05	3.33008552689	6.21591761167e-05	3.41450463119	3.89938843826e-05	
-9.42	3.70613397772e-05	3.33008077026	6.24157385146e-05	3.41449202867	3.91621144904e-05	
-9.4	3.72166854331e-05	3.33007599382	6.26738926784e-05	3.41447937434	3.93313822809e-05	
-9.38	3.73730098772e-05	3.33007119746	6.29336518036e-05	3.41446666789	3.95017021702e-05	
-9.36	3.75303213497e-05	3.33006638105	6.31950292223e-05	3.414453909	3.96730880311e-05	
-9.34	3.76886281776e-05	3.33006154446	6.3458038405e-05	3.41444109735	3.98455532893e-05	
-9.32	3.7847938776e-05	3.33005668758	6.37226929635e-05	3.41442823259	4.00191110038e-05	
-9.3	3.80082616496e-05	3.33005181027	6.3989006651e-05	3.41441531441	4.01937739346e-05	
-9.28	3.81696053923e-05	3.3300469124	6.42569933654e-05	3.41440234247	4.03695545993e-05	
-9.26	3.83319786904e-05	3.33004199384	6.45266671497e-05	3.41438931643	4.05464653223e-05	
-9.24	3.84953903224e-05	3.33003705446	6.47980421952e-05	3.41437623595	4.07245182752e-05	
