Temperature 	 Sum 	  Maxval 	 R 
392.16	 3.17254e+09	 2934	 0.718855
392.07	 3.17291e+09	 3034	 0.716444
391.98	 3.17206e+09	 3338	 0.718571
391.9	 3.17258e+09	 3039	 0.719284
391.8	 3.17197e+09	 2569	 0.718843
391.7	 3.17327e+09	 3116	 0.718203
391.62	 3.17301e+09	 3076	 0.719969
391.52	 3.17409e+09	 3030	 0.719882
391.44	 3.17491e+09	 3244	 0.717763
391.34	 3.17328e+09	 2927	 0.717523
391.24	 3.17359e+09	 3296	 0.716632
391.16	 3.1733e+09	 3137	 0.718017
391.06	 3.17435e+09	 3013	 0.717686
390.99	 3.17155e+09	 2918	 0.716769
390.89	 3.17111e+09	 3132	 0.717582
390.79	 3.1704e+09	 3651	 0.720213
390.68	 3.17082e+09	 3000	 0.716712
390.58	 3.17044e+09	 3136	 0.718076
390.48	 3.17057e+09	 2857	 0.717022
390.41	 3.172e+09	 3151	 0.718551
390.31	 3.17178e+09	 3070	 0.718067
390.21	 3.17201e+09	 3110	 0.717761
390.13	 3.17206e+09	 2816	 0.718315
390.04	 3.17232e+09	 2971	 0.718672
389.96	 3.1734e+09	 2982	 0.718667
389.86	 3.17371e+09	 2801	 0.719174
389.76	 3.17425e+09	 2834	 0.717851
389.69	 3.17221e+09	 2955	 0.718602
389.59	 3.17249e+09	 3281	 0.716613
389.52	 3.17231e+09	 3087	 0.719182
389.42	 3.1717e+09	 2744	 0.715855
389.32	 3.17071e+09	 2918	 0.716751
389.25	 3.17145e+09	 3256	 0.716736
389.15	 3.17159e+09	 2718	 0.718004
389.07	 3.17168e+09	 3956	 0.715198
388.97	 3.17143e+09	 2658	 0.717375
388.88	 3.17303e+09	 2820	 0.718235
388.8	 3.17485e+09	 2820	 0.717984
388.71	 3.1725e+09	 3146	 0.717137
388.63	 3.1736e+09	 2796	 0.715788
388.54	 3.17334e+09	 2710	 0.718422
388.44	 3.17125e+09	 2845	 0.718372
388.37	 3.17185e+09	 2534	 0.715124
388.27	 3.1733e+09	 2944	 0.717141
388.2	 3.1733e+09	 2437	 0.717221
388.1	 3.17077e+09	 2985	 0.716314
388.01	 3.17194e+09	 3021	 0.716632
387.93	 3.17134e+09	 3025	 0.71677
387.84	 3.17086e+09	 2717	 0.716873
387.77	 3.17228e+09	 2851	 0.71897
387.67	 3.17117e+09	 2575	 0.714748
387.58	 3.16991e+09	 2833	 0.715551
387.51	 3.17052e+09	 2814	 0.715122
387.41	 3.16939e+09	 3047	 0.717024
387.34	 3.17128e+09	 2623	 0.717321
386.66	 3.17193e+09	 2815	 0.71581
386.57	 3.17207e+09	 2676	 0.712786
386.49	 3.17391e+09	 2785	 0.713558
386.4	 3.1731e+09	 2354	 0.713534
386.31	 3.17345e+09	 2748	 0.715891
386.24	 3.17267e+09	 2576	 0.713217
386.15	 3.17172e+09	 3754	 0.712865
386.08	 3.17245e+09	 2970	 0.714898
385.98	 3.173e+09	 2658	 0.712652
385.89	 3.17208e+09	 2652	 0.715284
385.82	 3.17399e+09	 2892	 0.715323
385.73	 3.17484e+09	 2725	 0.715122
385.61	 3.17426e+09	 2425	 0.714374
385.55	 3.17424e+09	 2928	 0.713451
385.45	 3.17234e+09	 2577	 0.71421
385.36	 3.1737e+09	 3116	 0.715901
385.29	 3.1744e+09	 2490	 0.715835
385.2	 3.17406e+09	 2515	 0.715847
385.13	 3.17248e+09	 2696	 0.714432
385.04	 3.17416e+09	 2525	 0.71576
384.95	 3.17207e+09	 2692	 0.712859
384.88	 3.17312e+09	 2694	 0.712777
384.79	 3.1722e+09	 2532	 0.715552
384.73	 3.17367e+09	 2621	 0.714223
384.64	 3.17342e+09	 2748	 0.712429
384.55	 3.17529e+09	 2589	 0.713861
384.48	 3.17396e+09	 2853	 0.714835
384.39	 3.17494e+09	 2662	 0.712796
384.32	 3.17544e+09	 2495	 0.713169
384.23	 3.17503e+09	 2514	 0.712213
384.14	 3.175e+09	 2601	 0.71279
384.07	 3.17284e+09	 2412	 0.713208
383.99	 3.17317e+09	 2534	 0.714783
383.92	 3.17098e+09	 2630	 0.713421
383.83	 3.17343e+09	 2757	 0.712127
383.74	 3.17317e+09	 2619	 0.712894
383.67	 3.17331e+09	 2466	 0.71341
383.59	 3.17384e+09	 2828	 0.715243
383.52	 3.17241e+09	 2539	 0.71294
383.43	 3.17179e+09	 2713	 0.714428
383.34	 3.17126e+09	 2498	 0.712417
383.28	 3.17369e+09	 2811	 0.712077
383.19	 3.17274e+09	 2594	 0.712941
383.12	 3.17572e+09	 2555	 0.714143
383.03	 3.17581e+09	 2434	 0.713173
382.95	 3.17359e+09	 2654	 0.711754
382.88	 3.17287e+09	 2546	 0.71125
382.79	 3.17413e+09	 2559	 0.713838
382.71	 3.17397e+09	 2527	 0.713946
382.64	 3.17338e+09	 2745	 0.712725
382.56	 3.17527e+09	 2473	 0.710341
382.49	 3.17448e+09	 2493	 0.714704
382.4	 3.17695e+09	 2512	 0.711716
382.32	 3.1736e+09	 2491	 0.711134
382.25	 3.17171e+09	 2367	 0.710757
382.16	 3.17152e+09	 2546	 0.71311
382.1	 3.17448e+09	 2681	 0.711408
382.01	 3.17296e+09	 2564	 0.711313
381.93	 3.17299e+09	 2647	 0.711895
381.87	 3.17282e+09	 2402	 0.712182
381.78	 3.17313e+09	 2652	 0.709755
381.72	 3.1741e+09	 2692	 0.711476
